frame_id,capture_time,processing_ms,detection_ok,detection_count,changed_pixel_ratio,compensation_mode,compensation_ok,inlier_ratio,overlap_ratio,track_id,visible,prediction_only,measured_x,measured_y,filtered_x,filtered_y,predicted_x,predicted_y,center_error_x,center_error_y,velocity_x,velocity_y,miss_count,confidence,pan,tilt,zoom,command_reason,captured,sharpness
0,558.890000,60.033,0,0,0.000000,none,0,,,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
15,559.000000,402.342,1,5,0.051944,orb,1,0.9862745098039216,1.0,1,1,0,332.5,200.5,332.5,200.5,332.5,200.5,12.5,20.5,0.0,0.0,0,0.733635181573326,0,-4,0,tracking,0,0.0
25,559.406000,16.895,1,4,0.030885,orb,1,0.988013698630137,1.0,1,1,0,307.5,197.5,313.39990234375,198.20799255371094,312.1933370113373,198.0632047224045,-7.806662988662708,18.063204722404492,-6.703140735626221,-0.8043768405914307,0,0.7470178405380602,0,-4,0,tracking,0,0.0
26,559.437000,16.974,1,1,0.008043,orb,1,0.9877300613496932,0.9994357638888889,1,0,1,,,313.1921081542969,198.1830596923828,311.98554282188417,198.03827186107637,-8.014457178115833,18.038271861076367,-6.703140735626221,-0.8043768405914307,1,0.7180708992171517,0,-4,0,tracking,0,0.0
27,559.484000,16.507,1,0,0.010571,orb,1,0.987987987987988,0.9997916666666666,1,0,1,,,312.8770751953125,198.14524841308594,311.6705098628998,198.0004605817795,-8.329490137100208,18.000460581779492,-6.703140735626221,-0.8043768405914307,2,0.674183601085517,0,-4,0,tracking,0,0.0
28,559.515000,25.842,1,1,0.008872,orb,1,0.9897360703812317,0.9994878472222222,1,0,1,,,312.6692810058594,198.1203155517578,311.46271567344667,197.97552772045137,-8.537284326553333,17.975527720451367,-6.703140735626221,-0.8043768405914307,3,0.6452366597647147,0,0,0,deadband,0,0.0
29,559.562000,18.971,1,0,0.008819,orb,1,0.9942363112391931,1.0,1,0,1,,,312.354248046875,198.08250427246094,311.1476827144623,197.9377164411545,-8.852317285537708,17.937716441154492,-6.703140735626221,-0.8043768405914307,4,0.6013493616330798,0,0,0,deadband,0,0.0
30,559.609000,19.329,1,1,0.007831,orb,1,0.9927953890489913,0.9998090277777778,1,0,1,,,312.0392150878906,198.04469299316406,310.8326497554779,197.89990516185762,-9.167350244522083,17.899905161857617,-6.703140735626221,-0.8043768405914307,5,0.557462063501445,0,0,0,deadband,0,0.0
31,559.640000,43.091,1,2,0.010192,orb,1,0.9913916786226685,0.9990104166666667,1,0,1,,,311.8314208984375,198.01976013183594,310.6248555660248,197.8749723005295,-9.375144433975208,17.874972300529492,-6.703140735626221,-0.8043768405914307,6,0.5285151221806428,0,0,0,deadband,0,0.0
32,559.671000,18.642,1,1,0.010482,orb,1,0.9943977591036415,1.0,1,0,1,,,311.6236267089844,197.9948272705078,310.41706137657167,197.85003943920137,-9.582938623428333,17.850039439201367,-6.703140735626221,-0.8043768405914307,7,0.4995681808597343,0,0,0,deadband,0,0.0
